Metabolitos,deficit_severo_min,deficit_severo_max,deficit_moderado_min,deficit_moderado_max,normal_min,normal_max,excesso_moderado_min,excesso_moderado_max,excesso_severo_min,excesso_severo_max
Lisina,1.25,2.499,2.5,4.999,5.0,40.0,40.001,60.0,60.001,61.25
1-Estearoil-2-araquidonoil-fosfatidilcolina,0.005,0.009,0.01,0.019,0.02,2.5,2.501,3.75,3.751,3.755
1-Estearoil-2-linoleoil-fosfatidilcolina,0.0025,0.004,0.005,0.009,0.01,2.0,2.001,3.0,3.001,3.0025
1-Estearoil-lisofosfatidilcolina,0.0125,0.024,0.025,0.049,0.05,0.3,0.301,0.45,0.451,0.4625
1-Oleil-lisofosfatidilcolina,0.025,0.049,0.05,0.099,0.1,0.5,0.501,0.75,0.751,0.775
1-Oleoil-2-estearoil-fosfatidilcolina,0.025,0.049,0.05,0.099,0.1,3.5,3.501,5.25,5.251,5.275
1-Palmitoil-2-araquidonoil-fosfatidilcolina (LDL oxidada),0.00825,0.0155,0.0165,0.032,0.033,0.2,0.201,0.3,0.301,0.30825
1-Palmitoil-2-docosaexenoil-fosfatidilcolina,0.0025,0.004,0.005,0.009,0.01,0.05,0.051,0.075,0.076,0.0775
1-Pamitoil-2-linoleoil-fosfatidilcolina,0.0225,0.044,0.045,0.089,0.09,3.0,3.001,4.5,4.501,4.5225
4- Hidroxiprolina,0.05,0.099,0.1,0.199,0.2,3.0,3.001,4.5,4.501,4.55
Acetil-L-carnitina,0.125,0.249,0.25,0.499,0.5,1.5,1.501,2.25,2.251,2.375
Ácido úrico,25.0,49.999,50.0,99.999,100.0,300.0,300.001,450.0,450.001,475.0
Adenosina,0.095,0.189,0.19,0.379,0.38,0.6,0.601,0.9,0.901,0.995
ADMA,0.125,0.249,0.25,0.499,0.5,2.0,2.001,3.0,3.001,3.125
Alanina,2.0,3.999,4.0,7.999,8.0,40.0,40.001,60.0,60.001,62.0
Alfa-cetoglutarato,0.25,0.499,0.5,0.999,1.0,10.0,10.001,15.0,15.001,15.25
Arginina,1.0,1.999,2.0,3.999,4.0,15.0,15.001,22.5,22.501,23.5
Asparagina,0.125,0.249,0.25,0.499,0.5,3.0,3.001,4.5,4.501,4.625
Aspartato,0.125,0.249,0.25,0.499,0.5,25.0,25.001,37.5,37.501,37.625
Butiril-L-carnitina,0.0175,0.034,0.035,0.069,0.07,0.1,0.101,0.15,0.151,0.1675
Cisteina,0.01,0.019,0.02,0.039,0.04,2.0,2.001,3.0,3.001,3.01
Cistina,0.001,0.001,0.002,0.003,0.004,2.0,2.001,3.0,3.001,3.001
Citrulina,0.5,0.999,1.0,1.999,2.0,20.0,20.001,30.0,30.001,30.5
Fenilalanina,1.25,2.499,2.5,4.999,5.0,40.0,40.001,60.0,60.001,61.25
GABA,0.125,0.249,0.25,0.499,0.5,2.0,2.001,3.0,3.001,3.125
Glicina,1.25,2.499,2.5,4.999,5.0,100.0,100.001,150.0,150.001,151.25
Glutamato,1.25,2.499,2.5,4.999,5.0,25.0,25.001,37.5,37.501,38.75
Glutamina,1.5,2.999,3.0,5.999,6.0,50.0,50.001,75.0,75.001,76.5
Glutationa oxidada,0.025,0.049,0.05,0.099,0.1,1.4,1.401,2.1,2.101,2.125
Glutationa reduzida,0.2375,0.474,0.475,0.949,0.95,1.7,1.701,2.55,2.551,2.7875
Glutationa total (Entra no TNM),0.2625,0.524,0.525,1.049,1.05,3.1,3.101,4.65,4.651,4.9125
Guanosina,0.01,0.019,0.02,0.039,0.04,0.6,0.601,0.9,0.901,0.91
Histidina,0.5,0.999,1.0,1.999,2.0,20.0,20.001,30.0,30.001,30.5
Isoleucina,0.5,0.999,1.0,1.999,2.0,10.0,10.001,15.0,15.001,15.5
Isovaleril-L-carnitina,0.0075,0.014,0.015,0.029,0.03,0.1,0.101,0.15,0.151,0.1575
L-carnitina,0.025,0.049,0.05,0.099,0.1,1.5,1.501,2.25,2.251,2.275
Lactato,5.0,9.999,10.0,19.999,20.0,500.0,500.001,750.0,750.001,755.0
Leucina,1.0,1.999,2.0,3.999,4.0,15.0,15.001,22.5,22.501,23.5
Malato,0.25,0.499,0.5,0.999,1.0,10.0,10.001,15.0,15.001,15.25
Metionina,0.025,0.049,0.05,0.099,0.1,14.0,14.001,21.0,21.001,21.025
Ornitina,0.5,0.999,1.0,1.999,2.0,30.0,30.001,45.0,45.001,45.5
Palmitoil-L-carnitina,0.0025,0.004,0.005,0.009,0.01,0.05,0.051,0.075,0.076,0.0775
Piruvato,2.5,4.999,5.0,9.999,10.0,120.0,120.001,180.0,180.001,182.5
Prolina,0.5,0.999,1.0,1.999,2.0,100.0,100.001,150.0,150.001,150.5
Propionil-L-carnitina,0.0025,0.004,0.005,0.009,0.01,0.1,0.101,0.15,0.151,0.1525
Quinurenina,0.0005,0.0,0.001,0.001,0.002,0.09,0.091,0.135,0.136,0.1355
Serina,0.75,1.499,1.5,2.999,3.0,30.0,30.001,45.0,45.001,45.75
Succinato,0.5,0.999,1.0,1.999,2.0,30.0,30.001,45.0,45.001,45.5
Taurina,2.5,4.999,5.0,9.999,10.0,200.0,200.001,300.0,300.001,302.5
Tetradecanoil-L-carnitina,0.0025,0.004,0.005,0.009,0.01,0.11,0.111,0.165,0.166,0.1675
Timina,0.175,0.349,0.35,0.699,0.7,10.0,10.001,15.0,15.001,15.175
Tirosina,0.25,0.499,0.5,0.999,1.0,30.0,30.001,45.0,45.001,45.25
TMAO (triometilamina -N-oxido),0.0025,0.004,0.005,0.009,0.01,0.5,0.501,0.75,0.751,0.7525
Treonina,2.5,4.999,5.0,9.999,10.0,30.0,30.001,45.0,45.001,47.5
Triptofano,0.1,0.199,0.2,0.399,0.4,8.0,8.001,12.0,12.001,12.1
Valina,1.5,2.999,3.0,5.999,6.0,15.0,15.001,22.5,22.501,24.0
